id	target	response	HumanPartialFinal	question
4116	Resides on the back of the arm and connects the upper arm to a bone of the lower arm	The lowerside of the arm connecting the shoulder to the elbow.	0	The Triceps Muscle
4117	Resides on the back of the arm and connects the upper arm to a bone of the lower arm	The underside of the arm connecting the shoulder to the elbow.	0	The Triceps Muscle
4118	Resides on the back of the arm and connects the upper arm to a bone of the lower arm	The lower side of the arm connecting to the bone and elbow.	0	The Triceps Muscle
4119	Resides on the back of the arm and connects the upper arm to a bone of the lower arm	Back of the arm between the elbow and shoulder	0.5	The Triceps Muscle
4120	Resides on the back of the arm and connects the upper arm to a bone of the lower arm	Behind the upper arm connecting the upper arm to a bone in the lower arm	1	The Triceps Muscle
4121	Resides on the back of the arm and connects the upper arm to a bone of the lower arm	back of the upper arm connects upper arm to lower arm	1	The Triceps Muscle
4122	Resides on the back of the arm and connects the upper arm to a bone of the lower arm	back of the upper arm	0.5	The Triceps Muscle
4123	Resides on the back of the arm and connects the upper arm to a bone of the lower arm	in the back of the upper arm and is connected to the elbow	0.5	The Triceps Muscle
4124	Functions mainly to move the upper arm away from the body at the shoulder	Moves the shoulder back and away from the body	0	The Deltoid Muscle
4125	Functions mainly to move the upper arm away from the body at the shoulder	It is used to extend the upperarm away from the shoulder	0.5	The Deltoid Muscle
4126	Functions mainly to move the upper arm away from the body at the shoulder	It is used to move the upper arm away from the body at the shoulder	1	The Deltoid Muscle
4127	Functions mainly to move the upper arm away from the body at the shoulder	To help raise the arm by the shoulder away from the body. 	1	The Deltoid Muscle
4128	Functions mainly to move the upper arm away from the body at the shoulder	Aids in moving the upper arm away from the body by the shoulder.	1	The Deltoid Muscle
4129	Functions mainly to move the upper arm away from the body at the shoulder	more the upper arm away from the body at the sholder	1	The Deltoid Muscle
4130	Functions mainly to move the upper arm away from the body at the shoulder	to more the upper arm away from the body 	1	The Deltoid Muscle
4131	Functions mainly to move the upper arm away from the body at the shoulder	to move the upper arm away from the body at the shoulder	1	The Deltoid Muscle
4132	Functions mainly to move the upper arm away from the body at the shoulder	lowers the arm	0	The Deltoid Muscle
4133	Functions mainly to move the upper arm away from the body at the shoulder	allows the movement of the arm	0	The Deltoid Muscle
4134	Functions mainly to move the upper arm away from the body at the shoulder	allows the upper arm to move away from the body	1	The Deltoid Muscle
4135	Functions mainly to move the upper arm away from the body at the shoulder	it allows the movement of the lower arm at the shoulder	0.5	The Deltoid Muscle
4136	Functions mainly to move the upper arm away from the body at the shoulder	allows the arm to move away from the body at the shoulder	1	The Deltoid Muscle
4137	Functions mainly to move the upper arm away from the body at the shoulder	allos the upper arm to move away from the bosy at the shoulder	1	The Deltoid Muscle
4138	Functions mainly to move the upper arm away from the body at the shoulder	mainly allows the upper arm to move away from the body at the shoulder	1	The Deltoid Muscle
4139	Functions mainly to move the upper arm away from the body at the shoulder	To move the arm away from the body.	0.5	The Deltoid Muscle
4140	Functions mainly to move the upper arm away from the body at the shoulder	To move the arm to one side	0	The Deltoid Muscle
4141	Functions mainly to move the upper arm away from the body at the shoulder	to move the arm away from the body	0.5	The Deltoid Muscle
4142	Functions mainly to move the upper arm away from the body at the shoulder	To move the arm away from the body. connecting the scapula to the humerous. shoulders	0.5	The Deltoid Muscle
4143	Functions mainly to move the upper arm away from the body at the shoulder	mainly to move the arm away from the body at the shoulders	1	The Deltoid Muscle
4144	Functions mainly to move the upper arm away from the body at the shoulder	Raises the arm and shoulder	0.5	The Deltoid Muscle
4145	Functions mainly to move the upper arm away from the body at the shoulder	raises the arm 	0.5	The Deltoid Muscle
4146	Functions mainly to move the upper arm away from the body at the shoulder	moves the arm away from the body at the shoulders	1	The Deltoid Muscle
4147	Functions mainly to move the upper arm away from the body at the shoulder	to raise the upper arm away from the body	1	The Deltoid Muscle
4148	Functions mainly to move the upper arm away from the body at the shoulder	Functions to raise the upper arm away from the body at the shoulders	1	The Deltoid Muscle
4149	Functions mainly to move the upper arm away from the body at the shoulder	Mainly functions to move the upper arm away from the body at the shoulders	1	The Deltoid Muscle
4150	Functions mainly to move the upper arm away from the body at the shoulder	move arm away from body	0.5	The Deltoid Muscle
4151	Functions mainly to move the upper arm away from the body at the shoulder	move the arm away from the body	0.5	The Deltoid Muscle
4152	Functions mainly to move the upper arm away from the body at the shoulder	move the upper arm away from the body	1	The Deltoid Muscle
4153	Functions mainly to move the upper arm away from the body at the shoulder	to move the upper arm away from the body at the shoulder	1	The Deltoid Muscle
4154	Functions mainly to move the upper arm away from the body at the shoulder	Moves the arm up and away from the body	0.5	The Deltoid Muscle
4155	Functions mainly to move the upper arm away from the body at the shoulder	The function is to raise the arm up and away from the body	0.5	The Deltoid Muscle
4156	Functions mainly to move the upper arm away from the body at the shoulder	To move the arm up and away from the body from the shoulder	1	The Deltoid Muscle
4157	Functions mainly to move the upper arm away from the body at the shoulder	To lift the upper part of the arm up and away from the body	1	The Deltoid Muscle
4158	Functions mainly to move the upper arm away from the body at the shoulder	Mainly to lift the upper arm up and away from the body at the shoulder	1	The Deltoid Muscle
4159	Functions mainly to move the upper arm away from the body at the shoulder	to raise the arm	0.5	The Deltoid Muscle
4160	Functions mainly to move the upper arm away from the body at the shoulder	To raise the upper part of the arm causing the arm to move away from the body	1	The Deltoid Muscle
4161	Functions mainly to move the upper arm away from the body at the shoulder	The function of the deltoid muscle is to raise the upper part of the arm away from the body.	1	The Deltoid Muscle
4162	Functions mainly to move the upper arm away from the body at the shoulder	"The function of the deltoid muscle is to raise the side upper part of the arm, or shoulder, away from the body."	1	The Deltoid Muscle
4163	Functions mainly to move the upper arm away from the body at the shoulder	The deltoid muscle functions mainly to move the upper part of the arm away from the boyd.	1	The Deltoid Muscle
4164	Is stimulated by the axillary nerve	It is connected by the axillery nerve	0.5	The Deltoid Muscle
4165	Is stimulated by the axillary nerve	It is stimulated by the axillary nerve	1	The Deltoid Muscle
4166	Is stimulated by the axillary nerve	Axxxxxxxsssssssssssssssssssss nerve 	0	The Deltoid Muscle
4167	Is stimulated by the axillary nerve	It is stimulated by the Axilary nerve 	1	The Deltoid Muscle
4168	Is stimulated by the axillary nerve	the axillary 	0.5	The Deltoid Muscle
4169	Is stimulated by the axillary nerve	stimulation through the axillary nerve	1	The Deltoid Muscle
4170	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
4171	Is stimulated by the axillary nerve	It is moved by the Allixary Nerve.	1	The Deltoid Muscle
4172	Is stimulated by the axillary nerve	axillery Nerve	0.5	The Deltoid Muscle
4173	Is stimulated by the axillary nerve	stimulated by the axillery nerve	1	The Deltoid Muscle
4174	Is stimulated by the axillary nerve	Axillary nerve	0.5	The Deltoid Muscle
4175	Is stimulated by the axillary nerve	axillary nerve	0.5	The Deltoid Muscle
4176	Is stimulated by the axillary nerve	axillary nerve	0.5	The Deltoid Muscle
4177	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
4178	Is stimulated by the axillary nerve	stimulated by the axuillary nerve	1	The Deltoid Muscle
4179	Is stimulated by the axillary nerve	Stimulated by the axilary nerve	1	The Deltoid Muscle
4180	Is stimulated by the axillary nerve	The deltoid muscle is stimuated by the axial nerve	0.5	The Deltoid Muscle
4181	Is stimulated by the axillary nerve	The deltoid muscle is stimulated by the axillary nerve	1	The Deltoid Muscle
4182	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	On the back of the shoulder	0	The Deltoid Muscle
4183	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	It is located on the side of the upper arm	0.5	The Deltoid Muscle
4184	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	It is located on the side of the upper arm	0.5	The Deltoid Muscle
4185	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	Located on the side of the upper arm connected by the scapula to the humerous	1	The Deltoid Muscle
4186	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	On the side of the upper arm near the shoulder. 	0.5	The Deltoid Muscle
